Open,High,Low,Close,Adj Close,Volume
57000,58800,56400,58600,56560.60547,48431566
60300,60400,58600,59000,56946.6875,36476611
59700,60100,59000,59000,56946.6875,19285354
59500,59600,57700,57900,55884.96875,21943345
57800,57900,56700,56800,54823.25,21158940
57200,58100,57000,57300,55305.85156,19419694
57300,57500,56300,56900,54919.77344,17739706
57100,58400,57100,58000,55981.48828,21625874
57900,58400,57100,57500,55498.89063,18751717
57600,58300,57500,57800,55788.44922,17774291
58000,59500,57800,58200,56174.53125,24907912
58200,59000,57700,59000,56946.6875,18573934
59400,59600,58000,58700,56657.13281,22089460
58000,58400,57700,58000,55981.48828,15672548
58900,59900,58000,58400,56367.56641,25307825
59000,59200,57800,57800,55788.44922,16930719
57600,57600,55300,55400,53471.97656,30386029
56200,56900,55800,55900,53954.57422,21142288
55800,56600,55400,56100,54147.60938,15055896
56400,56800,56100,56400,54437.17578,14021705
56400,56500,55700,56400,54437.17578,17651593
56300,56300,55600,55600,53665.01172,16196568
56100,56300,55400,55400,53471.97656,14619888
56000,56100,54000,54000,52120.69531,32671367
54100,54800,54100,54200,52313.73828,19363117
54600,55100,54100,54400,52506.77734,16905723
55600,56700,55500,56400,54437.17578,28384920
55200,55800,55100,55600,53665.01172,22139109
56100,57300,55800,56500,54533.69141,18685880
57400,58700,57200,58700,56657.13281,31517520
58200,59300,57800,58400,56367.56641,30597399
59900,60000,59100,59200,57139.72656,29923293
59300,59400,58200,59000,56946.6875,16017098
60200,60800,59900,60400,58297.96484,20648281
60900,61000,60500,61000,58877.08203,17877075
61100,61300,60600,61000,58877.08203,17041444
60700,60800,59300,59500,57429.28516,25108356
59800,59900,59100,59300,57236.24609,18884571
59100,60000,59000,59200,57139.72656,15140387
59100,59700,57800,58200,56174.53125,20830381
58400,58800,57400,58600,56560.60547,20111398
57700,58600,57600,57800,55788.44922,17564020
57700,58200,57700,57900,55884.96875,11444683
58300,58800,57900,58200,56520.09375,12614080
58300,59000,58200,58200,56520.09375,15503563
57500,59200,57500,58700,57005.66016,20228289
59400,59900,58700,59000,57297.00391,14463826
58700,59900,58500,59900,58171.02344,14861838
60500,60700,59500,59700,57976.79688,24589924
60000,60400,59900,60400,58656.58984,16145837
61000,61400,60400,60900,59142.16016,19247631
61000,61100,60500,60900,59142.16016,16086716
60700,60800,59700,60000,58268.13672,17756232
60000,60400,59000,59500,57782.56641,16554190
59600,60200,59500,60000,58268.13672,14474985
60300,60900,60100,60900,59142.16016,19326115
61200,61500,60600,60900,59142.16016,15703443
60300,60500,59800,60100,58365.25391,14294095
60400,60400,59800,60200,58462.36328,9322232
60400,61100,60100,60400,58656.58984,13268226
60300,60300,59500,59800,58073.91016,17260416
59400,59400,58800,59000,57297.00391,14428882
58200,58500,57500,58100,56422.98047,22636966
58000,58000,56600,56600,54966.27734,26907844
56400,57500,56000,57400,55743.18359,20489076
57900,58900,57600,58800,57102.77734,14950919
58900,59000,57800,58500,56811.43359,21718561
59000,60300,58800,60300,58559.48047,20639475
60700,60800,59600,60100,58365.25391,16910230
60700,60900,60100,60200,58462.36328,15892961
60500,60500,59500,60200,58462.36328,19073552
60700,61400,60400,61300,59530.61328,25628510
61000,61400,60700,61000,59239.27344,19800573
61300,63200,61000,63200,61375.77344,31508829
64000,66700,63900,66300,64386.29297,36354334
67000,67000,65600,65700,63803.60938,30204089
65700,66200,64700,64800,62929.58594,22963790
64100,64800,63900,64600,62735.35938,16590290
63900,65200,63900,64700,62832.47656,15068682
64800,67800,64700,67500,65551.65625,27134398
67900,69500,67000,67700,65745.88281,32158235
67900,68300,66500,66600,64677.63281,32447065
66100,68000,66000,68000,66037.21875,19023323
68000,68400,67600,68200,66231.45313,14063434
68400,68600,66700,66700,64774.74609,43811016
67100,68300,67100,67800,65842.99219,22327173
68400,69900,68300,69500,67493.92969,29703942
70100,70500,69300,69700,67688.14844,23677989
70400,72100,70100,71500,69436.19531,28130533
72400,73500,71900,72900,70795.78906,28490496
72200,72900,71600,71700,69630.42969,25000338
72100,73900,72000,73900,71766.92188,24077996
72700,73800,72500,72900,70795.78906,39882928
73500,73800,73100,73400,71281.35938,18486672
73600,74500,73200,73800,71669.8125,21510415
73800,74100,73300,73800,71669.8125,20863671
74100,74500,73400,73800,71669.8125,17512081
73400,73700,72600,73300,71184.24219,24293214
73300,73700,73000,73000,70892.90625,17613029
73100,73400,72000,73000,70892.90625,20367355
72500,73200,72100,72300,70213.10156,16304910
72400,74000,72300,73900,71766.92188,19411326
74100,78800,74000,77800,75554.35156,32502870
79000,80100,78200,78700,76428.375,40085044
78800,78900,77300,78300,77953.60156,30339449
77400,81300,77300,81000,80641.65625,29417421
81000,84400,80200,83000,82632.80469,38655276
81600,83900,81600,83900,83528.82031,35335669
83300,84500,82100,82200,81836.34375,42089013
82800,84200,82700,82900,82533.25,32644642
83300,90000,83000,88800,88407.14844,59013307
90000,96800,89500,91000,90597.41406,90306177
90300,91400,87800,90600,90199.17969,48682416
89800,91200,89100,89700,89303.16406,36068848
88700,90000,88700,89700,89303.16406,26393970
89800,91800,88000,88000,87610.6875,33431809
86600,87300,84100,85000,84623.95313,43227951
84500,88000,83600,87000,86615.10938,39895044
89000,89000,86500,87200,86814.22656,25211127
87500,88600,86500,88100,87710.24219,25318011
89000,89700,86800,86800,86415.99219,30861661
87000,89900,86300,89400,89004.49219,27258534
88800,89200,86500,86700,86316.4375,33178936
86600,87700,85600,85600,85221.30469,26423070
83200,85600,83200,83700,83329.71094,31859808
84500,85000,82000,82000,81637.22656,39615978
81700,83400,81000,83000,82632.80469,28046832
84100,86400,83700,84400,84026.60938,26302077
84800,85400,83400,84600,84225.72656,22112205
83500,83800,82100,82500,82135.01563,24171688
83100,84000,82500,83500,83130.59375,18036835
83800,84200,83000,83000,82632.80469,15338765
84000,84800,82700,82700,82334.13281,20898332
82600,82600,81600,81600,81239,23025766
83800,84500,83300,84200,83827.5,23529706
84500,86000,84200,84900,84524.39844,20483100
83900,84200,83000,83200,82831.92188,18307735
83200,83600,82100,82100,81736.78906,21327683
82300,82800,81000,82600,82234.57813,25880879
83800,84200,82200,82200,81836.34375,25419886
81200,82900,81100,82000,81637.22656,20587314
81800,83600,81300,82000,81637.22656,26807651
84000,85400,83000,85300,84922.63281,34155986
82800,83400,82000,82500,82135.01563,38520800
85100,85300,83000,83600,83230.14844,33498180
83500,84000,82800,84000,83628.38281,19882132
82600,83200,82200,82400,82035.46094,24348331
81100,82600,81100,82100,81736.78906,20508971
82900,83000,81600,82000,81637.22656,17641256
81400,81900,80600,81400,81039.88281,25420764
82400,82500,80700,80900,80542.09375,20038422
81000,82500,81000,82000,81637.22656,23818297
83100,83500,82400,82800,82433.6875,13530573
82800,82900,81800,81800,81438.11719,13735798
82200,83000,82100,82800,82433.6875,12293537
82800,82900,82000,82300,81935.89844,11625146
82800,83800,82600,82900,82533.25,18585244
82100,82500,81800,81900,81537.67188,15869700
82000,82300,81700,82000,81637.22656,12670506
82600,82900,81800,81800,81438.11719,13299907
81000,81600,80700,81000,80641.65625,17926638
81000,82100,80800,81200,80840.76563,14758826
81400,81600,81000,81500,81139.4375,12845778
81700,81700,81000,81600,81239,14952134
81600,82300,81300,82200,82200,13121698
82400,82700,81400,81400,81400,17240518
82500,83000,82000,82900,82900,18676461
84000,85200,83900,84800,84800,22997538
85800,86000,84800,85400,85400,16255990
86200,86200,85100,86000,86000,19042023
86100,86200,85400,85600,85600,17885538
85700,85700,84100,84700,84700,19244259
84700,84900,83400,83600,83600,18193707
84100,84100,83100,83200,83200,12915282
83000,84500,82800,84000,84000,15238206
84000,84300,83400,84000,84000,13794652
83700,84500,83400,84100,84100,16377412
84700,84700,83600,83900,83900,15429522
83800,84000,83300,83300,83300,15287311
83300,84000,83100,83900,83900,15521965
83300,83500,82500,82600,82600,21636079
82900,83000,82400,82400,82400,13934746
81900,82900,81600,82800,82800,17805080
82900,83500,82600,83500,83500,15489938
83200,83300,82500,82900,82900,12941533
83200,83200,82100,82100,82100,15596759
82400,82500,81500,81700,81700,20000973
81900,82100,81500,81500,81500,18673197
81000,82400,81000,81700,81700,15710336
81900,82600,81800,82600,82600,12532550
81700,82300,81700,82300,82300,17047511
81800,82100,81500,81900,81900,14154882
82300,83500,81800,83200,83200,19385027
82500,82600,81100,81200,81200,28996680
80800,81200,79800,80000,80000,35812268
78900,79600,78400,78500,78500,31490096
79000,80300,78900,80100,80100,16450920
80800,80900,79200,79600,79600,17740855
79600,80000,79100,79600,79600,17494407
79400,79700,79100,79500,79500,16541828
80100,81500,79800,80100,80100,20961714
80100,80400,79500,79700,79700,13398666
80000,80400,79800,79900,79900,13628942
80400,80500,79700,79800,79800,11984359
80000,80000,79100,79600,79600,23198510
79800,80400,79400,80100,80100,12360199
80300,80600,79600,80500,80500,13321324
80500,81300,80100,80600,80600,14058401
80400,81400,80300,80800,80800,16414644
81300,83000,81100,82800,82800,29546007
82700,82700,81500,82200,82200,18112259
82700,82800,81600,81900,81900,16496197
82300,82600,81800,81900,81900,12781226
81500,82000,81100,81100,81100,14908823
81300,81400,80900,81000,81000,17586995
81200,81700,80700,81000,81000,14087962
80800,80900,80500,80500,80500,10550078
80900,81200,80600,80900,80900,10075685
81500,81900,81100,81800,81800,14999855
81100,81300,80700,80900,80900,14007385
81100,81100,80500,80500,80500,14916721
79700,80000,79600,79900,79900,16063340
80200,80300,79900,80000,80000,11773365
80500,80600,79900,80100,80100,13856548
80400,81400,80100,81200,81200,18771080
81500,81900,81200,81600,81600,13481405
81700,82000,81600,81900,81900,11578529
81900,82100,80800,81000,81000,15744317
81100,81400,80700,80700,80700,13288643
80500,80600,80000,80100,80100,13382882
80000,80400,79900,80000,80000,8753097
80100,80800,80000,80400,80400,8330969
80600,81200,80500,81200,81200,12131651
81200,81300,80300,80800,80800,15992202
81100,81200,79900,79900,79900,16660998
79600,79800,79000,79400,79400,22720577
79900,80000,79500,79700,79700,9768108
80000,80200,79800,79800,79800,9863450
79400,79600,79100,79500,79500,11575636
79800,80600,79500,80600,80600,13766279
80100,80100,79500,79800,79800,10859399
79100,79200,78800,79000,79000,13155414
78500,79000,78400,79000,79000,12456646
79000,79100,78500,78500,78500,12355296
79000,79800,78900,79700,79700,12618790
79700,79900,79200,79300,79300,9098910
79400,79500,78800,78800,78800,10040975
79200,79400,78500,78500,78500,11427693
78300,78900,78100,78400,78400,10199591
